Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0500000US27001,27001,"Aitkin County, Minnesota",15722,,14937,25,62,21,309,45,52,13,2,2,8,9,352,55,11,16,341,56
0500000US27003,27003,"Anoka County, Minnesota",341249,,291633,699,17750,583,2246,320,14142,450,107,38,5092,744,10279,846,798,198,9481,820
0500000US27005,27005,"Becker County, Minnesota",33375,,29299,81,154,37,2517,145,165,18,10,9,118,71,1112,146,54,32,1058,149
0500000US27007,27007,"Beltrami County, Minnesota",45644,,33600,118,416,100,9621,311,391,42,48,42,111,70,1457,314,19,16,1438,316
0500000US27009,27009,"Benton County, Minnesota",39457,,37032,72,1046,186,167,56,437,79,0,18,32,26,743,192,19,22,724,196
0500000US27011,27011,"Big Stone County, Minnesota",5098,,5038,37,9,11,0,12,0,12,0,12,4,6,47,35,0,12,47,35
0500000US27013,27013,"Blue Earth County, Minnesota",65524,,60046,141,2166,196,263,40,1347,159,8,15,297,106,1397,276,110,76,1287,245
0500000US27015,27015,"Brown County, Minnesota",25327,,24587,141,57,34,56,49,166,64,15,20,238,132,208,57,3,4,205,57
0500000US27017,27017,"Carlton County, Minnesota",35482,,31710,89,525,60,1838,179,216,64,7,9,63,39,1123,212,80,69,1043,214
0500000US27019,27019,"Carver County, Minnesota",97143,,90204,359,1388,214,135,47,2672,269,75,83,534,197,2135,276,284,160,1851,229
0500000US27021,27021,"Cass County, Minnesota",28633,,24315,54,100,27,3174,125,166,17,13,14,36,23,829,122,17,15,812,121
0500000US27023,27023,"Chippewa County, Minnesota",12126,,11265,89,65,37,177,36,81,27,130,11,213,95,195,62,8,8,187,63
0500000US27025,27025,"Chisago County, Minnesota",54041,,51690,97,672,83,218,62,382,96,4,7,107,83,968,133,28,30,940,136
0500000US27027,27027,"Clay County, Minnesota",61402,,56626,196,1271,197,770,144,644,141,26,29,263,153,1802,277,204,111,1598,301
0500000US27029,27029,"Clearwater County, Minnesota",8764,,7564,25,29,22,805,44,40,10,11,8,12,9,303,47,46,20,257,40
0500000US27031,27031,"Cook County, Minnesota",5215,,4527,27,15,10,429,45,48,9,20,19,68,33,108,40,7,11,101,41
0500000US27033,27033,"Cottonwood County, Minnesota",11557,,10474,183,72,35,54,22,333,41,4,11,428,189,192,57,0,14,192,57
0500000US27035,27035,"Crow Wing County, Minnesota",63321,,60995,89,389,76,747,128,288,46,0,20,46,30,856,138,31,28,825,135
0500000US27037,27037,"Dakota County, Minnesota",411402,,344555,1254,22082,719,1168,240,19126,390,52,45,11411,1370,13008,963,1047,319,11961,885
0500000US27039,27039,"Dodge County, Minnesota",20361,,19633,76,67,43,54,27,181,27,0,16,158,65,268,73,21,26,247,71
